,play time
0,55.55
1,253.15
2,271.75
3,227.36666666666667
4,117.76666666666667
5,308.76666666666665
6,165.46666666666667
7,119.53333333333333
8,207.63333333333333
9,231.48333333333332
10,116.06666666666666
11,257.55
12,272.0833333333333
13,229.41666666666666
14,110.13333333333334
15,93.73333333333333
16,2.2
17,15.083333333333334
18,130.38333333333333
19,104.65
20,55.55
21,253.15
22,271.75
23,227.36666666666667
24,117.76666666666667
25,308.76666666666665
26,165.46666666666667
27,119.53333333333333
28,207.63333333333333
29,231.48333333333332
30,116.06666666666666
31,257.55
32,272.0833333333333
33,229.41666666666666
34,110.13333333333334
35,93.73333333333333
36,2.2
37,15.083333333333334
38,130.38333333333333
39,104.65
40,106.63333333333334
41,132.91666666666666
42,140.36666666666667
43,197.66666666666666
44,12.583333333333334
45,195.48333333333332
46,76.15
47,447.78333333333336
48,51.666666666666664
49,232.13333333333333
50,240.66666666666666
51,22.5
52,144.25
53,86.66666666666667
54,98.93333333333334
55,218.33333333333334
56,108.91666666666667
57,93.38333333333334
58,34.68333333333333
59,11.7
60,44.666666666666664
61,36.1
62,325.6333333333333
63,147.11666666666667
64,287.6
65,135.15
66,69.71666666666667
67,97.93333333333334
68,98.83333333333333
69,149.28333333333333
70,65.8
71,104.61666666666666
72,96.91666666666667
73,1.7
74,212.11666666666667
75,203.1
76,193.43333333333334
77,202.76666666666668
78,97.26666666666667
79,264.53333333333336
80,54.56666666666667
81,199.93333333333334
82,4.966666666666667
83,74.81666666666666
84,125.28333333333333
85,152.68333333333334
86,128.21666666666667
87,81.36666666666666
88,126.0
89,42.31666666666667
90,83.0
91,20.85
92,17.2
93,117.3
94,22.45
95,4.85
96,11.0
97,22.3
98,137.93333333333334
99,78.8
100,193.65
101,33.18333333333333
102,1.8333333333333333
103,101.0
104,224.65
105,37.93333333333333
106,127.96666666666667
107,22.566666666666666
108,51.016666666666666
109,0.03333333333333333
110,99.16666666666667
111,4.233333333333333
112,371.01666666666665
113,102.66666666666667
114,135.71666666666667
115,16.65
116,42.516666666666666
117,7.3
118,72.35
119,0.9
120,206.16666666666666
121,405.2
122,29.1
123,129.91666666666666
124,189.63333333333333
125,281.26666666666665
126,164.0
127,10.433333333333334
128,15.383333333333333
129,111.06666666666666
130,2.05
131,177.85
132,104.51666666666667
133,108.43333333333334
134,159.16666666666666
135,130.58333333333334
136,152.56666666666666
137,277.9166666666667
138,313.8666666666667
139,77.66666666666667
140,145.45
141,1.5166666666666666
142,191.3
143,19.383333333333333
144,55.483333333333334
145,49.483333333333334
146,25.916666666666668
147,394.01666666666665
148,20.15
149,0.43333333333333335
150,376.85
151,17.716666666666665
152,295.3
153,77.63333333333334
154,63.9
155,38.5
156,144.55
157,115.33333333333333
158,146.86666666666667
159,216.83333333333334
160,12.333333333333334
